Fecha,Último
mar-20,22.74
abr-20,25.27
may-20,35.33
jun-20,41.15
jul-20,43.3
ago-20,45.28
sep-20,40.95
oct-20,37.46
nov-20,47.59
dic-20,51.8
ene-21,55.88
feb-21,66.13
mar-21,63.54
abr-21,67.25
may-21,69.32
jun-21,75.13
jul-21,76.33
ago-21,72.99
sep-21,78.52
oct-21,84.38
nov-21,70.57
dic-21,77.78
ene-22,91.21
feb-22,100.99
mar-22,120.71
